"Lurralde kodea","Lurralde","2009","2008","2007","2006","2005"
"01100","Arabako Ibarrak / Valles Alaveses","62.58",NA,NA,NA,NA
"01200","Arabako Lautada / Llanada Alavesa","23.87",NA,NA,NA,NA
"01300","Arabako Mendialdea / Monta침a Alavesa","28.31",NA,NA,NA,NA
"48100","Arratia Nerbioi / Arratia-Nervi칩n","42.02",NA,NA,NA,NA
"20200","Bidasoa Beherea / Bajo Bidasoa","3.75",NA,NA,NA,NA
"48200","Bilbo Handia / Gran Bilbao","8.02",NA,NA,NA,NA
"20100","Deba Beherea / Bajo Deba","6.91",NA,NA,NA,NA
"20300","Debagoiena / Alto Deba","12.77",NA,NA,NA,NA
"20400","Donostialdea / Donostia-San Sebasti치n","26.55",NA,NA,NA,NA
"48300","Durangaldea / Duranguesado","12.00",NA,NA,NA,NA
"48400","Enkartazioak / Encartaciones","40.67",NA,NA,NA,NA
"01400","Errioxa Arabarra / Rioja Alavesa","32.57",NA,NA,NA,NA
"48500","Gernika-Bermeo","25.19",NA,NA,NA,NA
"20500","Goierri","13.39",NA,NA,NA,NA
"01500","Gorbeia Inguruak / Estribaciones del Gorbea","29.39",NA,NA,NA,NA
"01600","Kantauri Arabarra / Cant치brica Alavesa","21.03",NA,NA,NA,NA
"48600","Markina-Ondarroa","24.09",NA,NA,NA,NA
"48700","Plentzia-Mungia","18.38",NA,NA,NA,NA
"20600","Tolosaldea / Tolosa","18.35",NA,NA,NA,NA
"20700","Urola-Kostaldea / Urola Costa","14.20",NA,NA,NA,NA
